Repository,Release ID,Tag Name,Release Name,Published At,Created At,Author Username,Is Draft,Is Prerelease,Description,Release URL,Is Weekday,Year,Month,Week,Day of Week
stackflow,221756397,@stackflow/react-ui-core@1.3.2,@stackflow/react-ui-core@1.3.2,2025-05-29T08:08:59Z,2025-05-29T08:08:55Z,github-actions[bot],false,false,"### Patch Changes

-   d2c50f3: fix(react-ui-core): add `preventSwipeBack` into effect dependencies
",https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.3.2,true,2025,2025-05,2025-W22,4
stackflow,221756390,@stackflow/plugin-basic-ui@1.14.2,@stackflow/plugin-basic-ui@1.14.2,2025-05-29T08:08:56Z,2025-05-29T08:08:55Z,github-actions[bot],false,false,"### Patch Changes

-   371a39c: fix(plugin-basic-ui): update dependencies
-   Updated dependencies [d2c50f3]
    -   @stackflow/react-ui-core@1.3.2
",https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.14.2,true,2025,2025-05,2025-W22,4
stackflow,218765570,@stackflow/react-ui-core@1.3.1,@stackflow/react-ui-core@1.3.1,2025-05-15T09:08:02Z,2025-05-15T09:07:58Z,github-actions[bot],false,false,"### Patch Changes

-   aef952a: fix(react-ui-core): prevent default `touchend` event
",https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.3.1,true,2025,2025-05,2025-W20,4
stackflow,218765559,@stackflow/plugin-basic-ui@1.14.1,@stackflow/plugin-basic-ui@1.14.1,2025-05-15T09:07:59Z,2025-05-15T09:07:58Z,github-actions[bot],false,false,"### Patch Changes

-   aef952a: fix(plugin-basic-ui): prevent touch events while transitioning for other basic components
-   Updated dependencies [aef952a]
    -   @stackflow/react-ui-core@1.3.1
",https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.14.1,true,2025,2025-05,2025-W20,4
stackflow,217906393,@stackflow/react@1.5.2,@stackflow/react@1.5.2,2025-05-12T07:52:17Z,2025-05-12T07:52:16Z,github-actions[bot],false,false,"### Patch Changes

-   b9dc68a: fix(react): remove unused dependencies
",https://github.com/daangn/stackflow/releases/tag/%40stackflow/react%401.5.2,true,2025,2025-05,2025-W20,1
stackflow,211240605,@stackflow/react-ui-core@1.3.0,@stackflow/react-ui-core@1.3.0,2025-04-09T10:08:22Z,2025-04-09T10:08:18Z,github-actions[bot],false,false,"### Minor Changes

-   a7650d4: Support full screen gradient background and introduce new app bar entrance type ""cover""
",https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.3.0,true,2025,2025-04,2025-W15,3
stackflow,211240595,@stackflow/plugin-basic-ui@1.14.0,@stackflow/plugin-basic-ui@1.14.0,2025-04-09T10:08:19Z,2025-04-09T10:08:18Z,github-actions[bot],false,false,"### Minor Changes

-   a7650d4: Support full screen gradient background and introduce new app bar entrance type ""cover""

### Patch Changes

-   Updated dependencies [a7650d4]
    -   @stackflow/react-ui-core@1.3.0
",https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.14.0,true,2025,2025-04,2025-W15,3
stackflow,208587923,@stackflow/react-ui-core@1.2.3,@stackflow/react-ui-core@1.2.3,2025-03-27T06:55:24Z,2025-03-27T06:55:21Z,github-actions[bot],false,false,"### Patch Changes

-   5c4b96c: fix(react-ui-core): consider nullable stack
",https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.2.3,true,2025,2025-03,2025-W13,4
stackflow,208587919,@stackflow/plugin-basic-ui@1.13.1,@stackflow/plugin-basic-ui@1.13.1,2025-03-27T06:55:22Z,2025-03-27T06:55:21Z,github-actions[bot],false,false,"### Patch Changes

-   5c4b96c: fix(react-ui-core): consider nullable stack
-   Updated dependencies [5c4b96c]
    -   @stackflow/react-ui-core@1.2.3
",https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.13.1,true,2025,2025-03,2025-W13,4
stackflow,205775211,@stackflow/react-ui-core@1.2.2,@stackflow/react-ui-core@1.2.2,2025-03-14T06:58:35Z,2025-03-14T06:58:30Z,github-actions[bot],false,false,"### Patch Changes

-   8593b5a: fix(plugin-basic-ui,react-ui-core): prevent touch events while transitioning
",https://github.com/daangn/stackflow/releases/tag/%40stackflow/react-ui-core%401.2.2,true,2025,2025-03,2025-W11,5
stackflow,205775206,@stackflow/plugin-basic-ui@1.13.0,@stackflow/plugin-basic-ui@1.13.0,2025-03-14T06:58:32Z,2025-03-14T06:58:30Z,github-actions[bot],false,false,"### Minor Changes

-   91413b6: To support various background designs, enable users to configure the background-image option in AppScreen, AppBar, BottomSheet and Modal.

### Patch Changes

-   8593b5a: fix(plugin-basic-ui,react-ui-core): prevent touch events while transitioning
-   Updated dependencies [8593b5a]
    -   @stackflow/react-ui-core@1.2.2
",https://github.com/daangn/stackflow/releases/tag/%40stackflow/plugin-basic-ui%401.13.0,true,2025,2025-03,2025-W11,5
